DateGMT;Attendance;Home_Team_Name;AwayTeamName;Referee;HomeTeamGoalCount ;AwayTeamGoalCount;HomeTeamPossession;AwayTeamPossession;StadiumName;;;;;;;;;;;;;;;;;;
Oct 20 2018 - 2:00pm;10986;AFC Bournemouth;Southampton;Lee Probert;0;0;57;43;Vitality Stadium (Bournemouth- Dorset);;;;;;;;;;;;;;;;;;
Oct 20 2018 - 2:00pm;29681;Cardiff City;Fulham;Kevin Friend;4;2;40;60;Cardiff City Stadium (Cardiff (Caerdydd));;;;;;;;;;;;;;;;;;
Oct 20 2018 - 2:00pm;54094;Manchester City;Burnley;Jonathan Moss;5;0;69;31;Etihad Stadium (Manchester);;;;;;;;;;;;;;;;;;
Oct 20 2018 - 2:00pm;50329;Newcastle United;Brighton & Hove Albion;Andre Marriner;0;1;68;32;St. James' Park (Newcastle upon Tyne);;;;;;;;;;;;;;;;;;
Oct 20 2018 - 2:00pm;56921;West Ham United;Tottenham Hotspur;Martin Atkinson;0;1;44;56;London Stadium (London);;;;;;;;;;;;;;;;;;
Oct 20 2018 - 2:00pm;31144;Wolverhampton Wanderers;Watford;Lee Mason;0;2;44;56;Molineux Stadium (Wolverhampton- West Midlands);;;;;;;;;;;;;;;;;;
Oct 20 2018 - 4:30pm;24263;Huddersfield Town;Liverpool;Michael Oliver;0;1;47;53;John Smith's Stadium (Huddersfield- West Yorkshire);;;;;;;;;;;;;;;;;;
Oct 21 2018 - 3:00pm;38668;Everton;Crystal Palace;Anthony Taylor;2;0;59;41;Goodison Park (Liverpool);;;;;;;;;;;;;;;;;;
Oct 22 2018 - 7:00pm;59886;Arsenal;Leicester City;Chris Kavanagh;3;1;69;31;Emirates Stadium (London);;;;;;;;;;;;;;;;;;
Oct 27 2018 - 2:00pm;30654;Brighton & Hove Albion;Wolverhampton Wanderers;Anthony Taylor;1;0;39;61;The American Express Community Stadium (Falmer- East Sussex);;;;;;;;;;;;;;;;;;
Oct 27 2018 - 2:00pm;25071;Fulham;AFC Bournemouth;Andre Marriner;0;3;52;48;Craven Cottage (London);;;;;;;;;;;;;;;;;;
Oct 27 2018 - 2:00pm;53373;Liverpool;Cardiff City;Stuart Attwell;4;1;79;21;Anfield (Liverpool);;;;;;;;;;;;;;;;;;
Oct 27 2018 - 2:00pm;30736;Southampton;Newcastle United;Chris Kavanagh;0;0;50;50;St. Mary's Stadium (Southampton- Hampshire);;;;;;;;;;;;;;;;;;
Oct 27 2018 - 2:00pm;20457;Watford;Huddersfield Town;Mike Dean;3;0;48;52;Vicarage Road (Watford);;;;;;;;;;;;;;;;;;
Oct 27 2018 - 4:30pm;31848;Leicester City;West Ham United;Michael Oliver;1;1;64;36;King Power Stadium (Leicester- Leicestershire);;;;;;;;;;;;;;;;;;
Oct 28 2018 - 1:30pm;21430;Burnley;Chelsea;Craig Pawson;0;4;30;70;Turf Moor (Burnley);;;;;;;;;;;;;;;;;;
Oct 28 2018 - 1:30pm;25718;Crystal Palace;Arsenal;Martin Atkinson;2;2;42;58;Selhurst Park (London);;;;;;;;;;;;;;;;;;
Oct 28 2018 - 4:00pm;74525;Manchester United;Everton;Jonathan Moss;2;1;53;47;Old Trafford (Manchester);;;;;;;;;;;;;;;;;;
Oct 29 2018 - 8:00pm;56854;Tottenham Hotspur;Manchester City;Kevin Friend;0;1;48;52;Wembley Stadium (London);;;;;;;;;;;;;;;;;;
Nov 03 2018 - 12:30pm;10792;AFC Bournemouth;Manchester United;Paul Tierney;1;2;48;52;Vitality Stadium (Bournemouth- Dorset);;;;;;;;;;;;;;;;;;
Nov 03 2018 - 3:00pm;30877;Cardiff City;Leicester City;Lee Probert;0;1;40;60;Cardiff City Stadium (Cardiff (Caerdydd));;;;;;;;;;;;;;;;;;
Nov 03 2018 - 3:00pm;38966;Everton;Brighton & Hove Albion;David Coote;3;1;61;39;Goodison Park (Liverpool);;;;;;;;;;;;;;;;;;
Nov 03 2018 - 3:00pm;49157;Newcastle United;Watford;Craig Pawson;1;0;41;59;St. James' Park (Newcastle upon Tyne);;;;;;;;;;;;;;;;;;
Nov 03 2018 - 3:00pm;56862;West Ham United;Burnley;Roger East;4;2;62;38;London Stadium (London);;;;;;;;;;;;;;;;;;
Nov 03 2018 - 5:30pm;59993;Arsenal;Liverpool;Andre Marriner;1;1;61;39;Emirates Stadium (London);;;;;;;;;;;;;;;;;;
Nov 03 2018 - 7:45pm;31185;Wolverhampton Wanderers;Tottenham Hotspur;Mike Dean;2;3;48;52;Molineux Stadium (Wolverhampton- West Midlands);;;;;;;;;;;;;;;;;;
Nov 04 2018 - 3:00pm;53916;Manchester City;Southampton;Lee Mason;6;1;67;33;Etihad Stadium (Manchester);;;;;;;;;;;;;;;;;;
Nov 04 2018 - 4:00pm;40407;Chelsea;Crystal Palace;Michael Oliver;3;1;73;27;Stamford Bridge (London);;;;;;;;;;;;;;;;;;
Nov 05 2018 - 8:00pm;17082;Huddersfield Town;Fulham;Anthony Taylor;1;0;45;55;John Smith's Stadium (Huddersfield- West Yorkshire);;;;;;;;;;;;;;;;;;
