DateGMT;Attendance;Home_Team_Name;AwayTeamName;Referee;HomeTeamGoalCount ;AwayTeamGoalCount;HomeTeamPossession;AwayTeamPossession;StadiumName;;;;;;;;;;;;;;;;;;
Apr 12 2019 - 7:00pm;32108;Leicester City;Newcastle United;Chris Kavanagh;0;1;71;29;King Power Stadium (Leicester- Leicestershire);;;;;;;;;;;;;;;;;;
Apr 13 2019 - 11:30am;58308;Tottenham Hotspur;Huddersfield Town;Lee Mason;4;0;70;30;Tottenham Hotspur Stadium (London);;;;;;;;;;;;;;;;;;
Apr 13 2019 - 2:00pm;30460;Brighton & Hove Albion;AFC Bournemouth;Kevin Friend;0;5;50;50;The American Express Community Stadium (Falmer- East Sussex);;;;;;;;;;;;;;;;;;
Apr 13 2019 - 2:00pm;21480;Burnley;Cardiff City;Mike Dean;2;0;46;54;Turf Moor (Burnley);;;;;;;;;;;;;;;;;;
Apr 13 2019 - 2:00pm;24971;Fulham;Everton;Lee Probert;2;0;40;60;Craven Cottage (London);;;;;;;;;;;;;;;;;;
Apr 13 2019 - 2:00pm;31708;Southampton;Wolverhampton Wanderers;Jonathan Moss;3;1;30;70;St. Mary's Stadium (Southampton- Hampshire);;;;;;;;;;;;;;;;;;
Apr 13 2019 - 4:30pm;74478;Manchester United;West Ham United;Graham Scott;2;1;42;58;Old Trafford (Manchester);;;;;;;;;;;;;;;;;;
Apr 14 2019 - 1:05pm;25721;Crystal Palace;Manchester City;Martin Atkinson;1;3;27;73;Selhurst Park (London);;;;;;;;;;;;;;;;;;
Apr 14 2019 - 3:30pm;53279;Liverpool;Chelsea;Michael Oliver;2;0;61;39;Anfield (Liverpool);;;;;;;;;;;;;;;;;;
Apr 15 2019 - 7:00pm;20480;Watford;Arsenal;Craig Pawson;0;1;34;66;Vicarage Road (Watford);;;;;;;;;;;;;;;;;;
Apr 16 2019 - 6:45pm;30226;Brighton & Hove Albion;Cardiff City;Andre Marriner;0;2;63;37;The American Express Community Stadium (Falmer- East Sussex);;;;;;;;;;;;;;;;;;
Apr 20 2019 - 11:30am;54489;Manchester City;Tottenham Hotspur;Michael Oliver;1;0;60;40;Etihad Stadium (Manchester);;;;;;;;;;;;;;;;;;
Apr 20 2019 - 2:00pm;10511;AFC Bournemouth;Fulham;David Coote;0;1;49;51;Vitality Stadium (Bournemouth- Dorset);;;;;;;;;;;;;;;;;;
Apr 20 2019 - 2:00pm;23957;Huddersfield Town;Watford;Roger East;1;2;45;55;John Smith's Stadium (Huddersfield- West Yorkshire);;;;;;;;;;;;;;;;;;
Apr 20 2019 - 2:00pm;59960;West Ham United;Leicester City;Lee Probert;2;2;49;51;London Stadium (London);;;;;;;;;;;;;;;;;;
Apr 20 2019 - 2:00pm;31096;Wolverhampton Wanderers;Brighton & Hove Albion;Craig Pawson;0;0;68;32;Molineux Stadium (Wolverhampton- West Midlands);;;;;;;;;;;;;;;;;;
Apr 20 2019 - 4:30pm;52191;Newcastle United;Southampton;Anthony Taylor;3;1;43;57;St. James' Park (Newcastle upon Tyne);;;;;;;;;;;;;;;;;;
Apr 21 2019 - 12:30pm;39395;Everton;Manchester United;Paul Tierney;4;0;48;52;Goodison Park (Liverpool);;;;;;;;;;;;;;;;;;
Apr 21 2019 - 3:00pm;59929;Arsenal;Crystal Palace;Jonathan Moss;2;3;72;28;Emirates Stadium (London);;;;;;;;;;;;;;;;;;
Apr 21 2019 - 3:00pm;33082;Cardiff City;Liverpool;Martin Atkinson;0;2;23;77;Cardiff City Stadium (Cardiff (Caerdydd));;;;;;;;;;;;;;;;;;
Apr 22 2019 - 7:00pm;40642;Chelsea;Burnley;Kevin Friend;2;2;76;24;Stamford Bridge (London);;;;;;;;;;;;;;;;;;
Apr 23 2019 - 6:45pm;19170;Watford;Southampton;Mike Dean;1;1;62;38;Vicarage Road (Watford);;;;;;;;;;;;;;;;;;
Apr 23 2019 - 6:45pm;56251;Tottenham Hotspur;Brighton & Hove Albion;Chris Kavanagh;1;0;78;22;Tottenham Hotspur Stadium (London);;;;;;;;;;;;;;;;;;
Apr 24 2019 - 6:45pm;31436;Wolverhampton Wanderers;Arsenal;Stuart Attwell;3;1;29;71;Molineux Stadium (Wolverhampton- West Midlands);;;;;;;;;;;;;;;;;;
Apr 24 2019 - 7:00pm;74431;Manchester United;Manchester City;Andre Marriner;0;2;36;64;Old Trafford (Manchester);;;;;;;;;;;;;;;;;;
Apr 26 2019 - 7:00pm;53249;Liverpool;Huddersfield Town;Kevin Friend;5;0;70;30;Anfield (Liverpool);;;;;;;;;;;;;;;;;;
Apr 27 2019 - 11:30am;60043;Tottenham Hotspur;West Ham United;Anthony Taylor;0;1;63;37;Tottenham Hotspur Stadium (London);;;;;;;;;;;;;;;;;;
Apr 27 2019 - 2:00pm;25789;Crystal Palace;Everton;Lee Mason;0;0;36;64;Selhurst Park (London);;;;;;;;;;;;;;;;;;
Apr 27 2019 - 2:00pm;23822;Fulham;Cardiff City;Chris Kavanagh;1;0;73;27;Craven Cottage (London);;;;;;;;;;;;;;;;;;
Apr 27 2019 - 2:00pm;31310;Southampton;AFC Bournemouth;Graham Scott;3;3;44;56;St. Mary's Stadium (Southampton- Hampshire);;;;;;;;;;;;;;;;;;
Apr 27 2019 - 2:00pm;20323;Watford;Wolverhampton Wanderers;Simon Hooper;1;2;56;44;Vicarage Road (Watford);;;;;;;;;;;;;;;;;;
Apr 27 2019 - 4:30pm;30587;Brighton & Hove Albion;Newcastle United;Mike Dean;1;1;49;51;The American Express Community Stadium (Falmer- East Sussex);;;;;;;;;;;;;;;;;;
Apr 28 2019 - 11:00am;32037;Leicester City;Arsenal;Michael Oliver;3;0;67;33;King Power Stadium (Leicester- Leicestershire);;;;;;;;;;;;;;;;;;
Apr 28 2019 - 1:05pm;21605;Burnley;Manchester City;Paul Tierney;0;1;30;70;Turf Moor (Burnley);;;;;;;;;;;;;;;;;;
Apr 28 2019 - 3:30pm;74526;Manchester United;Chelsea;Martin Atkinson;1;1;51;49;Old Trafford (Manchester);;;;;;;;;;;;;;;;;;
May 03 2019 - 7:00pm;39303;Everton;Burnley;Chris Kavanagh;2;0;60;40;Goodison Park (Liverpool);;;;;;;;;;;;;;;;;;
May 04 2019 - 11:30am;10630;AFC Bournemouth;Tottenham Hotspur;Craig Pawson;1;0;53;47;Vitality Stadium (Bournemouth- Dorset);;;;;;;;;;;;;;;;;;
May 04 2019 - 2:00pm;59961;West Ham United;Southampton;Stuart Attwell;3;0;56;44;London Stadium (London);;;;;;;;;;;;;;;;;;
May 04 2019 - 2:00pm;30456;Wolverhampton Wanderers;Fulham;Jonathan Moss;1;0;39;61;Molineux Stadium (Wolverhampton- West Midlands);;;;;;;;;;;;;;;;;;
May 04 2019 - 4:30pm;32133;Cardiff City;Crystal Palace;Michael Oliver;2;3;39;61;Cardiff City Stadium (Cardiff (Caerdydd));;;;;;;;;;;;;;;;;;
May 04 2019 - 6:45pm;52206;Newcastle United;Liverpool;Andre Marriner;2;3;30;70;St. James' Park (Newcastle upon Tyne);;;;;;;;;;;;;;;;;;
May 05 2019 - 1:00pm;40650;Chelsea;Watford;Paul Tierney;3;0;58;42;Stamford Bridge (London);;;;;;;;;;;;;;;;;;
May 05 2019 - 1:00pm;24263;Huddersfield Town;Manchester United;Lee Mason;1;1;35;65;John Smith's Stadium (Huddersfield- West Yorkshire);;;;;;;;;;;;;;;;;;
May 05 2019 - 3:30pm;59965;Arsenal;Brighton & Hove Albion;Anthony Taylor;1;1;70;30;Emirates Stadium (London);;;;;;;;;;;;;;;;;;
May 06 2019 - 7:00pm;54506;Manchester City;Leicester City;Mike Dean;1;0;61;39;Etihad Stadium (Manchester);;;;;;;;;;;;;;;;;;
May 12 2019 - 2:00pm;30662;Brighton & Hove Albion;Manchester City;Michael Oliver;1;4;23;77;The American Express Community Stadium (Falmer- East Sussex);;;;;;;;;;;;;;;;;;
May 12 2019 - 2:00pm;21461;Burnley;Arsenal;Mike Dean;1;3;39;61;Turf Moor (Burnley);;;;;;;;;;;;;;;;;;
May 12 2019 - 2:00pm;25433;Crystal Palace;AFC Bournemouth;Roger East;5;3;45;55;Selhurst Park (London);;;;;;;;;;;;;;;;;;
May 12 2019 - 2:00pm;24979;Fulham;Newcastle United;Kevin Friend;0;4;68;32;Craven Cottage (London);;;;;;;;;;;;;;;;;;
May 12 2019 - 2:00pm;32140;Leicester City;Chelsea;Anthony Taylor;0;0;46;54;King Power Stadium (Leicester- Leicestershire);;;;;;;;;;;;;;;;;;
May 12 2019 - 2:00pm;53331;Liverpool;Wolverhampton Wanderers;Martin Atkinson;2;0;59;41;Anfield (Liverpool);;;;;;;;;;;;;;;;;;
May 12 2019 - 2:00pm;74457;Manchester United;Cardiff City;Jonathan Moss;0;2;73;27;Old Trafford (Manchester);;;;;;;;;;;;;;;;;;
May 12 2019 - 2:00pm;30367;Southampton;Huddersfield Town;Lee Probert;1;1;53;47;St. Mary's Stadium (Southampton- Hampshire);;;;;;;;;;;;;;;;;;
May 12 2019 - 2:00pm;60124;Tottenham Hotspur;Everton;Andre Marriner;2;2;55;45;Tottenham Hotspur Stadium (London);;;;;;;;;;;;;;;;;;
May 12 2019 - 2:00pm;20067;Watford;West Ham United;Chris Kavanagh;1;4;48;52;Vicarage Road (Watford);;;;;;;;;;;;;;;;;;
