full_name;age;season;position;Current Club;minutes_played_overall;nationality;goals_overall;assists_overall;penalty_goals;yellow_cards_overall;red_cards_overall
David Button;33;2018/2019;Goalkeeper;Brighton & Hove Albion;360;England;0;0;0;0;0
David de Gea;31;2018/2019;Goalkeeper;Manchester United;3420;Spain;0;0;0;1;0
David Junior Hoilett;32;2018/2019;Forward;Cardiff City;2142;Canada;3;1;0;4;0
David Luiz;35;2018/2019;Defender;Chelsea;3239;Brazil;3;2;0;3;0
David Silva;36;2018/2019;Midfielder;Manchester City;2411;Spain;6;8;0;3;0
Davide Zappacosta;30;2018/2019;Defender;Chelsea;125;Italy;0;0;0;0;0
Davinson S�nchez Mina;26;2018/2019;Defender;Tottenham Hotspur;1943;Colombia;1;1;0;2;0
Davy Pr�pper;31;2018/2019;Midfielder;Brighton & Hove Albion;2551;Netherlands;1;1;0;2;0
DeAndre Yedlin;29;2018/2019;Defender;Newcastle United;2475;USA;1;2;0;7;1
Declan Rice;23;2018/2019;Midfielder;West Ham United;3005;Republic of Ireland;2;0;0;4;0
Dejan Lovren;33;2018/2019;Defender;Liverpool;985;Croatia;1;0;0;1;0
Dele Alli;26;2018/2019;Midfielder;Tottenham Hotspur;1827;England;5;3;0;4;0
Demarai Gray;26;2018/2019;Midfielder;Leicester City;1992;England;4;1;0;2;0
Demeaco Duhaney;24;2018/2019;Defender;Huddersfield Town;46;England;0;0;0;0;0
Denis Odoi;34;2018/2019;Defender;Fulham;2593;Belgium;0;1;0;4;0
Denis Su�rez;28;2018/2019;Midfielder;Arsenal;67;Spain;0;0;0;0;0
Diego Rico;29;2018/2019;Defender;AFC Bournemouth;607;Spain;0;0;0;1;0
Diogo Jos� Teixeira da Silva;25;2018/2019;Midfielder;Wolverhampton Wanderers;2371;Portugal;9;5;0;11;0
Divock Origi;27;2018/2019;Forward;Liverpool;366;Belgium;3;1;0;0;0
Domingos Quina;22;2018/2019;Midfielder;Watford;335;Portugal;1;0;0;0;0
Dominic Calvert-Lewin;25;2018/2019;Forward;Everton;1774;England;6;2;0;3;0
Dominic Solanke;25;2018/2019;Forward;AFC Bournemouth;341;England;0;1;0;0;0
Dwight McNeil;22;2018/2019;Forward;Burnley;1599;England;3;5;0;2;0
Eden Hazard;31;2018/2019;Midfielder;Chelsea;2926;Belgium;16;15;4;2;0
Ederson;29;2018/2019;Goalkeeper;Manchester City;3420;Brazil;0;1;0;2;0
Edward Nketiah;23;2018/2019;Forward;Arsenal;62;England;1;0;0;0;0
Elias Kachunga;30;2018/2019;Forward;Huddersfield Town;1181;Congo DR;0;0;0;2;0
Emerson Hyndman;26;2018/2019;Midfielder;AFC Bournemouth;37;USA;0;0;0;0;0
Emerson Palmieri dos Santos;28;2018/2019;Defender;Chelsea;660;Italy;0;0;0;0;0
Emile Smith Rowe;22;2018/2019;Midfielder;Arsenal;0;England;0;0;0;0;0
Eric Bertrand Bailly;28;2018/2019;Defender;Manchester United;637;Ivory Coast;0;0;0;1;1
Eric Dier;28;2018/2019;Midfielder;Tottenham Hotspur;1510;England;3;0;0;4;0
Erik Durm;30;2018/2019;Defender;Huddersfield Town;2052;Germany;0;1;0;0;0
Erik Lamela;30;2018/2019;Midfielder;Tottenham Hotspur;971;Argentina;4;2;0;2;0
Ethan Ampadu;22;2018/2019;Midfielder;Chelsea;0;Wales;0;0;0;0;0
Etienne Capoue;34;2018/2019;Midfielder;Watford;2947;France;1;3;0;15;1
Fabi�n Cornelio Balbuena Gonz�lez;31;2018/2019;Defender;West Ham United;2014;Paraguay;1;0;0;2;0
Fabian Delph;32;2018/2019;Midfielder;Manchester City;725;England;0;1;0;2;1
Fabian Sch�r;30;2018/2019;Defender;Newcastle United;2002;Switzerland;4;1;0;12;0
Fabinho;29;2018/2019;Midfielder;Liverpool;2013;Brazil;1;2;0;6;0
Fabricio Mart�n Agosto Ram�rez;34;2018/2019;Goalkeeper;Fulham;180;Spain;0;0;0;0;0
Faustino Marcos Alberto Rojo;32;2018/2019;Defender;Manchester United;211;Argentina;0;0;0;2;0
Federico Fern�ndez;33;2018/2019;Defender;Newcastle United;1484;Argentina;0;1;0;2;0
Felipe Anderson Pereira Gomes;29;2018/2019;Midfielder;West Ham United;3054;Brazil;9;4;0;3;0
Fernando Llorente Torres;37;2018/2019;Forward;Tottenham Hotspur;683;Spain;1;4;0;2;0
Fernando Luiz Rosa;37;2018/2019;Midfielder;Manchester City;2381;Brazil;1;3;0;5;0
Florent Hadergjonaj;28;2018/2019;Defender;Huddersfield Town;1840;Switzerland;0;0;0;1;0
Florian Lejeune;31;2018/2019;Defender;Newcastle United;1055;France;0;0;0;0;0
Florin Andone;29;2018/2019;Forward;Brighton & Hove Albion;874;Romania;3;0;0;5;0
Floyd Ayit�;33;2018/2019;Midfielder;Fulham;465;Togo;1;0;0;0;0
Fousseni Diabat�;27;2018/2019;Midfielder;Leicester City;55;Mali;0;0;0;0;0
Francisco Femen�a Far;31;2018/2019;Midfielder;Watford;2045;Spain;1;1;0;1;0
Fraser Forster;34;2018/2019;Goalkeeper;Southampton;90;England;0;0;0;0;0
Freddie Woodman;25;2018/2019;Goalkeeper;Newcastle United;0;England;0;0;0;0;0
Frederico Rodrigues Santos;29;2018/2019;Midfielder;Manchester United;1045;Brazil;1;1;0;2;0
Gabriel Jesus;25;2018/2019;Forward;Manchester City;1019;Brazil;7;3;1;1;0
Ga�tan Bong Songo;34;2018/2019;Defender;Brighton & Hove Albion;1805;Cameroon;0;0;0;0;0
Gary Cahill;36;2018/2019;Defender;Chelsea;22;England;0;0;0;0;0
Gary Madine;32;2018/2019;Forward;Cardiff City;32;England;0;0;0;0;0
George Marsh;23;2018/2019;Midfielder;Tottenham Hotspur;0;England;0;0;0;0;0
Georges-Kevin N'Koudou Mbida;27;2018/2019;Forward;Tottenham Hotspur;4;France;0;1;0;0;0
Georginio Wijnaldum;31;2018/2019;Midfielder;Liverpool;2735;Netherlands;3;0;0;3;0
Gerard Deulofeu;28;2018/2019;Forward;Watford;2082;Spain;10;5;0;3;0
Glenn Murray;39;2018/2019;Forward;Brighton & Hove Albion;2513;England;13;1;4;5;0
Gonzalo Higuain;34;2018/2019;Forward;Chelsea;1092;Argentina;5;0;0;0;0
Grady Diangana;24;2018/2019;Midfielder;West Ham United;604;England;0;1;0;0;0
Granit Xhaka;30;2018/2019;Midfielder;Arsenal;2502;Switzerland;4;2;0;10;0
Greg Cunningham;31;2018/2019;Defender;Cardiff City;630;Republic of Ireland;0;0;0;3;0
Gylfi Sigurdsson;33;2018/2019;Midfielder;Everton;3134;Iceland;13;6;2;3;0
Hamza Choudhury;25;2018/2019;Midfielder;Leicester City;596;England;0;0;0;0;0
Harry Arter;32;2018/2019;Midfielder;Cardiff City;2008;Republic of Ireland;0;1;0;10;0
Harry Kane;29;2018/2019;Forward;Tottenham Hotspur;2427;England;17;4;4;5;0
Harry Maguire;29;2018/2019;Defender;Leicester City;2599;England;3;0;0;7;1
Harry Winks;26;2018/2019;Midfielder;Tottenham Hotspur;1591;England;1;0;0;4;0
Harvey Lewis Barnes;24;2018/2019;Midfielder;Leicester City;1007;England;1;2;0;0;0
H�vard Nordtveit;32;2018/2019;Midfielder;Fulham;361;Norway;0;1;0;0;0
Hector Bellerin;27;2018/2019;Defender;Arsenal;1535;Spain;0;5;0;3;0
H�lder Wander Sousa Azevedo Costa;28;2018/2019;Midfielder;Wolverhampton Wanderers;1345;Portugal;1;2;0;3;0
Henrikh Mkhitaryan;33;2018/2019;Midfielder;Arsenal;1643;Armenia;6;4;0;1;0
Heung-Min Son;30;2018/2019;Forward;Tottenham Hotspur;2048;South Korea;12;6;0;3;1
Heurelho da Silva Gomes;41;2018/2019;Goalkeeper;Watford;0;Brazil;0;0;0;0;0
Hugo Lloris;35;2018/2019;Goalkeeper;Tottenham Hotspur;2970;France;0;0;0;0;0
